judge_id,candidate_id,case_id,run_index,correct_diagnosis_index
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2309383,1,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300972,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300972,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2100279,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2211421,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300974,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300972,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2309498,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300974,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2309348,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2100279,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2309498,2,3
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2309382,2,0
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2309383,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2100279,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2301033,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2309382,1,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2309498,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2309382,1,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2211422,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2211422,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2100279,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300974,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300970,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2309348,1,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300972,2,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2309348,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2211422,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300974,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300972,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300897,0,0
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2301033,2,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300970,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300970,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300897,0,2
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300974,1,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2211421,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300897,0,0
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300974,0,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300970,2,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300974,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2100279,1,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300974,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2309383,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2309348,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2211421,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2309348,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300974,2,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2211422,2,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2309383,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2309382,0,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2100279,0,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300974,2,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2211421,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2301033,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc1909622,0,0
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300897,2,2
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2211422,0,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2301033,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc1909622,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2309383,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300970,0,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2309383,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300972,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2211422,0,0
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2309382,2,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2301033,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300897,2,0
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300897,2,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300897,2,0
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300970,2,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300970,2,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc1909622,2,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300972,0,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2309383,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300970,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2309498,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300972,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300900,2,2
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2211421,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300972,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300972,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300897,0,0
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2309348,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2309383,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2309348,2,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300970,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2309348,2,0
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc1909622,2,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2309383,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2309498,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2211421,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300970,2,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300897,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc1909622,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2309383,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2100279,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc1909622,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300970,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2309382,1,0
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2309383,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2309382,2,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300900,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2301033,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2100279,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2309382,1,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300900,1,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2309382,2,0
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300897,0,0
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300900,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300900,0,0
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2211422,2,0
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2309348,2,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300972,2,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300900,0,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2211421,2,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300900,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc1909622,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2100279,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2309382,1,0
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2309348,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2309383,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc1909622,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2211421,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300972,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2309498,2,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2211422,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2309498,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300900,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300974,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2211422,2,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2309383,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2309498,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2100279,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2309498,1,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2100279,2,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2309382,0,0
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300897,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2301033,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300974,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc1909622,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300970,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2100279,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2211421,2,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300974,0,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2309348,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2211421,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300900,1,0
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2309498,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc1909622,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300897,1,2
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2309382,2,0
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc1909622,1,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2211422,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2211421,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300970,0,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2309348,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300974,1,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2301033,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2301033,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300900,1,2
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2301033,0,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc1909622,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2301033,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300900,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2300970,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2309383,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2309348,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300900,2,0
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2301033,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2211422,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2309498,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412536,1,0
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412539,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412537,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412537,0,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412539,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412539,1,1
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412532,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412539,0,0
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412528,2,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412537,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412537,0,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412536,0,0
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412538,2,0
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412533,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412539,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412528,0,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412531,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412528,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412528,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412538,2,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412532,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412536,2,0
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412537,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412532,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412535,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412533,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412531,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412536,0,4
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412532,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412538,1,0
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412531,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412533,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412533,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412528,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412539,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412537,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412535,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412537,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412536,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412533,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412533,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412536,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412535,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412532,2,1
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412528,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412533,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412537,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412539,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412528,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412536,0,0
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412535,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412535,1,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412532,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412535,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412539,0,1
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412538,2,0
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412531,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412537,2,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412537,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412528,1,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412536,2,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412528,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412536,1,0
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412539,2,0
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412532,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412537,2,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412539,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412539,2,0
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412533,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412531,1,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412538,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412528,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412535,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412532,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412531,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412533,2,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412532,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412528,1,0
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412528,2,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412533,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412538,0,0
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412532,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412539,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412531,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412537,1,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412538,2,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412531,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412536,1,1
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412533,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412532,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412531,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412532,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412533,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412537,2,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412535,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412536,2,1
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412531,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412531,1,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2412535,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412538,0,0
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412532,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2412535,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2412538,1,
